fact,priority,stylized_fact,metric,normal,stress,note
fact00,validation,Data quality and book-reconstruction validation,crossed packets after repair,0,0,must be 0
fact00,validation,Data quality and book-reconstruction validation,aggressor-side agreement (exchange-aligned),0.99206,0.98752,share of aggressive orders printing on the correct side of the pre-trade quote; compare the receipt-aligned row below
fact00,validation,Data quality and book-reconstruction validation,"aggressor-side agreement (receipt-aligned, naive)",0.77669,0.73338,what you get without exchange-time channel alignment
fact00,validation,Data quality and book-reconstruction validation,snapshot checks with best quotes exact,0.78125,0.738095,42 independent checks
fact05,P0-C,Instantaneous liquidity-cost curve / cumulative LOB depth,cost-curve log-log slope (sell into bids),0.359671,0.459734,R2=0.993
fact05,P0-C,Instantaneous liquidity-cost curve / cumulative LOB depth,cost-curve log-log slope (buy from asks),0.391319,0.457709,R2=0.984
fact05,P0-C,Instantaneous liquidity-cost curve / cumulative LOB depth,"cost of 1 BTC (sell into bids), bps",0.796559,0.669194,
fact05,P0-C,Instantaneous liquidity-cost curve / cumulative LOB depth,"cost of 1 BTC (buy from asks), bps",0.611326,0.573982,
fact05,P0-C,Instantaneous liquidity-cost curve / cumulative LOB depth,"mean depth within 10 bps (BTC, both sides)",158.998,156.473,
fact06,P0-C,Bid-ask spread distribution and state dependence,"median quoted spread (bps, time-weighted)",0.0153944,0.0158905,0.10 USD at 65k
fact06,P0-C,Bid-ask spread distribution and state dependence,99th pct quoted spread (bps),0.544614,0.621448,39.1x the median
fact06,P0-C,Bid-ask spread distribution and state dependence,hourly spread max/min ratio,2.38157,3.11014,U-shape test
fact06,P0-C,Bid-ask spread distribution and state dependence,hourly spread coefficient of variation,0.264466,0.319631,
fact07,P0-C,Liquidity resiliency after large aggressive trades,large-order size threshold (BTC),0.911644,0.853479,top 1%
fact07,P0-C,Liquidity resiliency after large aggressive trades,spread at the next order / pre-event,1.48891,1.28213,event-time peak dislocation
fact07,P0-C,Liquidity resiliency after large aggressive trades,spread recovery time constant (s),14.8895,8.15528,literature 6.3s; fit R2=0.58
fact07,P0-C,Liquidity resiliency after large aggressive trades,orders until spread is back within 1% of pre-event,13,5,event-time spread resiliency
fact07,P0-C,Liquidity resiliency after large aggressive trades,orders until consumed-side depth is back to 99%,34,21,compare with the spread row above: depth recovering later is the Schnaubelt et al. ordering
fact08,P0-C,Order-flow imbalance -> short-horizon price response,OFI impact coefficient (bps per BTC),0.155203,0.164003,"R2=0.394, n=123,984"
fact08,P0-C,Order-flow imbalance -> short-horizon price response,OFI / mid-change correlation,0.61292,0.627724,blocks of 50 quote events
